college,kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctmarried
"Berkeley College of Woodland Park, NJ",37600,51200,0,0,0,0,0,0,1,0,0,70.500374,40.715447
Berklee College Of Music,27400,119300,0,1,0,0,0,0,1,0,0,22.272144,41.283527
Berry College,43400,103100,0,1,0,0,0,1,0,0,0,64.803803,74.294841
Beth Medrash Govoha Of America,20900,91100,0,1,0,0,0,0,1,0,0,0.98280096,86.619222
"Bethany College of Bethany, WV",42400,77600,0,1,0,0,0,1,0,0,0,53.571427,67.911488
"Bethany College of Lindsborg, KS",39800,73700,0,1,0,0,0,1,0,1,0,45.641026,66.305864
Bethany Lutheran College,35500,76000,0,1,0,0,0,0,0,1,0,50.99715,71.538967
Bethel College,31500,81300,0,1,0,0,0,1,0,1,0,62.484157,70.642859
"Bethel University of McKenzie, TN",34500,54700,0,1,0,0,0,1,0,0,0,53.539824,64.974946
"Bethel University of Saint Paul, MN",40200,100000,0,1,0,0,0,1,0,1,0,61.640799,79.165053
Bethune Cookman University,32500,43000,0,1,0,0,0,1,0,0,0,55.299538,21.432418
Binghamton University,65700,104400,1,0,0,0,1,0,1,0,0,54.666668,55.965865
Biola University,35700,95300,0,1,0,0,0,1,0,0,1,63.925236,74.655741
Birmingham Southern College,48100,137900,0,1,0,0,0,1,0,0,0,57.390302,66.46319
Bismarck State College,40400,68300,1,0,0,0,0,1,0,1,0,46.561968,61.560637
Blackburn University,41300,65800,0,1,0,0,0,1,0,1,0,54.090911,60.63652
Bloomfield College,35600,40800,0,1,0,0,0,1,1,0,0,61.233479,25.008073
Bloomsburg University Of Pennsylvania,45700,89800,1,0,0,0,0,1,1,0,0,60.61421,65.883839
Bluefield State College,24800,54700,1,0,0,0,0,1,0,0,0,54.24493,54.182345
Bluffton University,42400,77100,0,1,0,0,0,1,0,1,0,57.28395,83.600038
Boise State University,31900,77100,1,0,0,0,0,1,0,0,1,52.977616,62.344468
Boricua College,23200,28900,0,1,0,0,0,1,1,0,0,69.729728,20.675738
Boston College,71800,168400,0,1,0,1,0,0,1,0,0,51.660973,60.101098
Boston University,62000,126800,0,1,0,0,1,0,1,0,0,62.199748,53.076339
Bowdoin College,61000,177600,0,1,0,1,0,0,1,0,0,51.275915,59.304941
Bowling Green State University,42600,92800,1,0,0,0,0,1,0,1,0,56.63774,65.048474
Bradley University,54900,112900,0,1,0,0,0,1,0,1,0,55.595547,66.091794
Brandeis University,63100,142700,0,1,0,1,0,0,1,0,0,57.296038,58.348888
Brazosport College,35700,74000,1,0,0,0,0,1,0,0,0,47.708449,48.13385
Brenau University,34600,87000,0,1,0,0,0,1,0,0,0,98.255813,59.162736
Brevard College,29300,93900,0,1,0,0,0,0,0,0,0,46.4986,48.098892
Brewton Parker College,30400,63400,0,1,0,0,0,1,0,0,0,49.494949,57.968891
Briar Cliff University,39500,74400,0,1,0,0,0,1,0,1,0,55.470252,69.854677
Briarcliffe College,34200,64800,0,0,0,0,0,0,1,0,0,43.687063,40.612948
Bridgewater College,42100,91300,0,1,0,0,0,1,0,0,0,55.651236,65.617722
Bridgewater State University,45400,93300,1,0,0,0,0,1,1,0,0,62.080634,57.914776
Brigham Young University,32600,119600,0,1,0,0,0,1,0,0,1,54.861033,84.456772
Brigham Young University - Hawaii,22600,93200,0,1,0,0,0,1,0,0,1,57.452577,77.676529
Brigham Young University-Idaho,22600,92600,0,1,0,0,0,0,0,0,1,57.198519,84.689492
Brookline College,16200,30000,0,0,0,0,0,0,0,0,1,82.119203,26.677179
Brooks Institute,30500,95300,0,0,0,0,0,0,0,0,1,47.634912,41.335401
Broward College,30200,54900,1,0,0,0,0,1,0,0,0,55.082887,36.353582
Brown College,31000,67800,0,0,0,0,0,0,0,1,0,31.62339,43.573764
Brown University,66900,197000,0,1,1,0,0,0,1,0,0,53.72718,53.014421
Bryan College,28100,78800,0,1,0,0,0,1,0,0,0,60.14151,71.224713
Bryant University,73300,116900,0,1,0,0,0,1,1,0,0,39.951575,61.33123
Bryn Mawr College,47400,125400,0,1,0,1,0,0,1,0,0,99.623114,46.789965
Bucknell University,71800,149800,0,1,0,1,0,0,1,0,0,49.595469,65.46995
Buena Vista University,45900,69800,0,1,0,0,0,1,0,1,0,54.01997,71.489495
Butler University,57300,121500,0,1,0,0,0,1,0,1,0,63.416219,70.78656
Cabrini College,46700,98100,0,1,0,0,0,1,1,0,0,63.466668,56.710434
Cairn University,26500,77100,0,1,0,0,0,1,1,0,0,57.312924,76.966709
Caldwell College,45400,84300,0,1,0,0,0,1,1,0,0,62.596601,52.950287
California Baptist University,36200,82600,0,1,0,0,0,1,0,0,1,64.864862,72.462571
California College Of The Arts,29700,90100,0,1,0,0,0,0,0,0,1,58.221024,34.035909
California Institute Of Technology,83000,124500,0,1,0,1,0,0,0,0,1,33.216783,54.17853
California Institute Of The Arts,25300,108700,0,1,0,0,0,0,0,0,1,45.923913,36.633381
California Lutheran University,50900,110600,0,1,0,0,0,1,0,0,1,57.888889,66.277009
California Maritime Academy,85800,113100,1,0,0,0,0,1,0,0,1,15.217391,58.743018
